Species
Metapenaeopsis palmensis
Scambicornus lobulatus
Synstellicola kossmanni
Aphotopontius mammillatus
Liomera pallida
Atergatis ocyroe
Phylladiorhynchus barbeae
Lucicutia gaussae
Centropages velificatus
Ischioscia andina
Mimonectes gaussi
Shiinoa elagata
Metasesarma obesum
Thalamitoides tridens
Parapenaeonella tertia
Scypholanceola aestiva
Minuca rapax
Macrobrachium gallus
Cyclodius ungulatus
Linguimaera pirloti
Oithona rigida
Alona affinis
Johora singaporensis
Williamstimpsonia stimpsoni
Angustopelta aurita
Epiactaea nodulosa
Farranula concinna
Euchaetomera typica
Thalamita demani
Paramunida setigera
Thermocyclops hyalinus
Oxypleurodon fultoni
Neogonodactylus lacunatus
Cosmocalanus caroli
Caridina thomasi
Lithadia conica
Sacculina granulosa
Caridina dali
Liljeborgia famelicosa
Kupellonura indonesica
Centropages orsinii
Coralliocaris graminea
Uroptychus gracilimanus
Paramolgus accinctus
Xarifia fimbriata
Cardiodectes rubosus
Tubuca paradussumieri
Hyastenus whitei
Haptosquilla glyptocercus
Hexapanopeus angustifrons
Copytus posterosulcus
Trizocheles vaubanae
Conchoderma virgatum
Amallothrix tenuiserrata
Cryptodromia tuberculata
Raoulserenea ornata
Eriphia squamata
Ethusa minuta
Alpheus perplexus
Holoplites armata
Microtripus tinggiensis
Solidobalanus masignotus
Geosesarma hagen
Hayashidonus japonicus
Cirolana peisanae
Euaugaptilus hecticus
Eubelum stipulatum
Cilicaeopsis laevis
Callidactylus asper
Dilocarcinus pagei
Oncopagurus indicus
Alpheus malleodigitus
Paguristes brachyrostris
Ergasilus callophysus
Panjakus auriculatus
Uca heteropleura
Plesionika philippinensis
Dactylonia okai
Boroecia antipoda
Urnalana margaritata
Caridina subventralis
Caridina woltereckae
Galathea anoplos
Pseudochirella obtusa
Puerulus angulatus
Discias atlanticus
Macrobrachium lar
Macrobrachium nattereri
Orthopontonia ornata
Callinectes bocourti
Gonionida inornata
Clavisodalis heterocentroti
Ocypode ryderi
Penaeus latisulcatus
Agononida vanuacerta
Pontella mimocerami
Siriella dubia
Euchirograpsus liguricus
Labidocera aestiva
Nullosetigera helgae
Clistocoeloma merguiense
Chaenostoma boscii
Phronimella elongata
Hypoconcha parasitica
Potimirim potimirim
Harpiliopsis depressa
Cyclodius nitidus
Parapagurus microps
Paramolgus subincisus
Hyastenus sebae
Achaeus brevirostris
Portunus trituberculatus
Paraheterorhabdus vipera
Panopeus purpureus
Apotectonia heterostegos
Bosminopsis negrensis
Vibilia australis
Euterpina acutifrons
Candacia bipinnata
Platytyphlops cherkii
Lestrigonus shoemakeri
Ampelisca lobata
Parribacus antarcticus
Acetes paraguayensis
Calcinus vachoni
Oratosquilla oratoria
Bestiolina similis
Lissoporcellana quadrilobata
Thalamita macropus
Squilla mantis
Menippe rumphii
Holthuisana boesemani
Synalpheus digueti
Hoplosquilla said
Pitho sexdentata
Collodes granosus
Dactylonia anachoreta
Victoriopisa tinggiensis
Tubuca bellator
Anthosoma crassum
Meiosquilla schmitti
Panulirus laevicauda
Metanephrops velutinus
Disco inflatus
Upogebia ancylodactyla
Menippe nodifrons
Ptychognathus ishii
Nobilum histrio
Doclea armata
Kingsleya hewashimi
Enalcyonium kohsiangi
Palaemon mercedae
Systellaspis debilis
Funchalia woodwardi
Penaeus subtilis
Macrobrachium cortezi
Thalamita exetastica
Paramolgus centor
Nanaspis spinifera
Procletes levicarina
Bosmina hagmanni
Sanquerus validus
Soliella flava
Lucicutia wolfendeni
Disseta palumbii
Parapronoe parva
Plesionika orientalis
Liomera bella
Antillimunida gracilipes
Notostomus elegans
Rotundopotamonautes berardi
Platyozius laevis
Heterocrypta colombiana
Scolecithricella dentata
Euraphia hembeli
Eophrixus pikei
Hypocuma serratifrons
Paraxiopsis austrinus
Axiopsis serratifrons
Calcinus guamensis
Geograpsus crinipes
Alpheus gracilipes
Stenocionops spinosissimus
Munidopsis petila
Trapezionida semoni
Alainopaguroides lemaitrei
Pseudosquillisma oculata
Acanthomolgus varirostratus
Synalpheus theano
Calappa rubroguttata
Dotilla wichmanni
Paramolgus nephthaenus
Portunus pelagicus
Rotundopotamonautes aloysiisabaudiae
Munnopsurus mimus
Plagusia immaculata
Ceratocarcinus longimanus
Lioxanthodes alcocki
Labidocera pavo
Achaeus trifalcatus
Hyperia crassa
Pendanthura bangkaensis
Paraeuchaeta antarctica
Mierspenaeopsis hardwickii
Galacantha subspinosa
Anchimolgus eparmatoides
Anthessius discipedatus
Collocheres thysanotus
Hypoconcha panamensis
Lucascinus coralicola
Mesacturoides fimbriatus
Mursia obscura
Apocyclops panamensis
Stereomastis phosphorus
Mesocyclops paludosus
Calanus chilensis
Maritimonautes obesus
Trapezia lutea
Calappula saussurei
Parabetaeus culliereti
Conopea fidelis
Leiogalathea aeneas
Poecilasma kaempferi
Euaugaptilus angustus
Calamorhynchus pellucidus
Clibanarius longitarsus
Pseudanthessius newmanae
Xarifia echinoporae
Nanaspis truncata
Gelasimus vocans
Geosesarma peraccae
Sebekia divestei
Bemlos tridens
Periproctia bisetigera
Lycaea intermedia
Ampelisciphotis tridens
Albunea gibbesii
Pyromaia tuberculata
Hexamunida sphecia
Anchimolgus latens
Austruca lactea
Phronima stebbingi
Caridina masapi
Fistulobalanus citerosum
Galathea polydora
Lepidophthalmus natesi
Palaemon carteri
Penaeus indicus
Hyastenus borradailei
Tubuca demani
Latreutes pymoeus
Calanus helgolandicus
Rotundovaldivia latidens
Heterocarpus hayashii
Rectopalicus amphiceros
Miersarma granosimanum
Parasergestes armatus
Ancylomenes magnificus
Enosteoides lobatus
Metacrangon clevai
Arcotheres obesus
Centropages elongatus
Paracerceis sculpta
Upogebia brasiliensis
Leptalpheus forceps
Ashtoret lunaris
Chasmocarcinus latipes
Palaemon yuna
Petrolisthes galathinus
Cymothoa curta
Penaeus semisulcatus
Dardanus deformis
Liomera supernodosa
Tritaeta gibbosa
Jamescookina moluccensis
Liomera cinctimanus
Microcassiope minor
Penaeus monodon
Thinora maldivensis
Eucopia major
Nephropsis aculeata
Goyazana rotundicauda
Pseudoliomera ruppellioides
Armases rubripes
Neogonodactylus minutus
Alpheus ramosportoae
Phycocaris simulans
Glyphocrangon major
Garymunida squamosa
Stellicola flexilis
Sphaeroma peruvianum
Baruna trigranulum
Cantellius iwayama
Sapphirina ovatolanceolata
Meterythrops picta
Oplophorus spinosus
Lybia caestifera
Parasterocheres cristatus
Robustosergia extenuata
Ampithoe ramondi
Paractaea sulcata
Ocypode gaudichaudii
Alpheus cyanoteles
Synalpheus africanus
Cancricepon castroi
Paracalanus aculeatus
Oxycephalus piscator
Paguropsis typica
Macrobrachium inca
Nematopalaemon schmitti
Callinectes sapidus
Xiphonectes longispinosus
Scopimera intermedia
Holotheres semperi
Caridina gueryi
Manucomplanus longimanus
Panulirus longipes
Upogebia affinis
Pseudozius caystrus
Nematocarcinus productus
Sesarmops impressus
Ligia exotica
Eurydice caudata
Leucon tener
Sergia remipes
Valdivia serrata
Lankacythere coralloides
Caridina zhujiangensis
Cordioniscus leleupi
Mesosignum admirandum
Cyclaspis longicaudata
Paraheterorhabdus illgi
Metaconchoecia discoveryi
Calappa capellonis
Collodes inermis
Ilyoplax yuhana
Rotundoecia teretivalvata
Talorchestia bunaken
Paguropsis confusa
Plesionika spinidorsalis
Acanthephyra eximia
Metopograpsus thukuhar
Alpheus macrocheles
Calcinus minutus
Dardanus longior
Dardanus woodmasoni
Grapsus albolineatus
Calappa hepatica
Phorcosergia grandis
Vettoria granulosa
Uca princeps
Pagurus mbizi
Moreirocarcinus chacei
Orthoprotella bicornis
Leptuca festae
Mesocyclops papuensis
Archaeoscina steenstrupi
Puerulus carinatus
Geograpsus lividus
Stylocheiron affine
Dardanus arrosor
Tetraloides nigrifrons
Macrophthalmus pacificus
Samadinia suluensis
Achelous iridescens
Aethra scruposa
Macrothrix paulensis
Ctenocalanus vanus
Synarmadilloides pila
Macrobrachium lepidactylus
Palaemonella atlantica
Cyclax suborbicularis
Paractaea rufopunctata
Deckenia mitis
Glyphocrangon assimilis
Coenobita clypeatus
Euxanthus huonii
Eriphia ferox
Osachila levis
Neocytheretta spongiosa
Colanthura gerungi
Ditrichocorycaeus lubbocki
Gaetanus curvicornis
